Rainfall, Temperature, Ph,Crop, Production
601.38765,20,5,Wheat,0.04626
601.39535,20,5,Wheat,0.04651
601.56,20,5,Wheat,0.052
602.24094,20,5.2,Wheat,0.0523
603.21753,20,5,Wheat,0.0526
603.6,20,5.005,Wheat,0.0529
603.61506,20,5.01,Wheat,0.0532
603.64017,20,5.015,Wheat,0.0535
603.81543,20,5.02,Wheat,0.0538
604.51242,20,5.025,Wheat,0.0541
604.6453,20,5.03,Wheat,0.0544
604.6557,20,5.035,Wheat,0.0547
604.6599,20,5.04,Wheat,0.055
604.72081,20,5.045,Wheat,0.0553
604.82815,20,5.05,Wheat,0.0556
605.54574,20,5.055,Wheat,0.0559
606.00871,20,5.06,Wheat,0.0562
606.30137,20,5.065,Wheat,0.0565
606.3606,20,5.07,Wheat,0.0568
606.55085,20,5.075,Wheat,0.0571
606.68776,20,5.08,Wheat,0.0574
606.71756,20,5.085,Wheat,0.0577
606.71756,20,5.09,Wheat,0.058
606.81502,20,5.095,Wheat,0.0583
606.8606,20,5.1,Wheat,0.0586
606.86441,20,5.105,Wheat,0.0589
607.05882,20,5.11,Wheat,0.0592
607.5,20,5.115,Wheat,0.0595
607.5,20,5.12,Wheat,0.0598
607.8806,20,5.125,Wheat,0.0601
607.89474,20,5.13,Wheat,0.0604
608.25929,20,5.135,Wheat,0.0607
608.38863,20,5.14,Wheat,0.061
608.41025,20,5.145,Wheat,0.0613
608.49752,20,5.15,Wheat,0.0616
608.57143,20,5.155,Wheat,0.0619
608.59178,20,5.16,Wheat,0.0622
608.70466,20,5.165,Wheat,0.0625
608.83817,20,5.17,Wheat,0.0628
608.9049,20,5.175,Wheat,0.0631
608.91304,20,5.18,Wheat,0.0634
609.17735,20,5.185,Wheat,0.0637
609.23077,20,5.19,Wheat,0.064
609.25,20,5.195,Wheat,0.0643
609.4186,20,5.2,Wheat,0.0646
609.57143,20,5.205,Wheat,0.0649
609.64921,20,5.21,Wheat,0.0652
609.75709,20,5.215,Wheat,0.0655
609.83674,20,5.22,Wheat,0.0658
609.86285,20,5.225,Wheat,0.0661
609.87234,20,5.228,Wheat,0.0664
610,20,5.231,Wheat,0.0667
